code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0024000010227	Poires demi-fruits au sirop léger	https://static.openfoodfacts.org/images/products/002/400/001/0227/front.8.400.jpg	1	a	4	248		0.1	0						0	0	14	14			1	0.2				0	0		0					0.0009												0.043		0		0																			-3	-3							
0024000010418	Pêches Demi-Fruits		1	a	4	268		0	0								15	11			0.8	0.4				0.05	0.0196850393700787																																										-3	-3							
0024000010920	Cocktail de fruits au sirop	https://static.openfoodfacts.org/images/products/002/400/001/0920/front_en.17.400.jpg	2	a	4	274		0.1	0								15	15			1	0.4				0.1	0.0393700787401575		2.37e-05					0.0038												0.079				0.00028																			-3	-3							
0024000011484	Mandarines au sirop léger	https://static.openfoodfacts.org/images/products/002/400/001/1484/front_en.14.400.jpg	1	a	4	265		0	0						0	0	15	13			0.1	0.5				0	0							0.0048												0.111		0.032																					-3	-3							
0024000011859	Piña en Rodajas	https://static.openfoodfacts.org/images/products/002/400/001/1859/front.5.400.jpg	0	a	1	264		0	0								14	12			0.6	0.4				0	0		0																																								-3	-3							
0024000012306	Ananas en tranchesau sirop		0			297		0	0								17	15				0.3																																																							
0024000024675	Cocktail de fruits	https://static.openfoodfacts.org/images/products/002/400/002/4675/front.7.400.jpg	2	a	4	269		0.1	0								15	15			1	0.4				0.1	0.0393700787401575																																										-3	-3							
0024000034094	diced peaches	https://static.openfoodfacts.org/images/products/002/400/003/4094/front_en.5.400.jpg	0	b	4	222		0	0						0	0	14.2	11.5			0.885	0				0.0225	0.00885																			0.0681				0.000177																			2	2							
0024000124962	Pear Halves in Juice	https://static.openfoodfacts.org/images/products/002/400/012/4962/front_en.10.400.jpg	1	a	4	195		0.1	0								10.5	10.5			1	0.3				0.100076	0.0394																																										-4	-4							
0024000145851	Cocktail de fruits		2	a	4	255		0.01	0.01								14	10			0.7	0.2				0.03	0.0118110236220472																																										-3	-3							
0024000146087	Piña en rodajas en zumo	https://static.openfoodfacts.org/images/products/002/400/014/6087/front.7.400.jpg	0	a	1	264		0	0								14	12			0.6	0.4				0	0																																										-3	-3							
0024000160007	Tranches d'Ananas au jus d'Ananas	https://static.openfoodfacts.org/images/products/002/400/016/0007/front.5.400.jpg	0	a	1	242		0	0								13.1	13.1			0.7	0.3				0	0																																										-3	-3							
0024000160113	Pezzi di ananas con sciroppo aromatizzato al limone 		0	a	4	310		0	0								17.4	15.3			0.4	0.3				0	0																																										-2	-2							
0024000195252	Mangues en tranches	https://static.openfoodfacts.org/images/products/002/400/019/5252/front.3.400.jpg	0	a		272		0	0								15	15			1	0.3				0.02	0.0078740157480315																																										-3	-3							
00281966	Strawberries	https://static.openfoodfacts.org/images/products/00281966/front_en.3.400.jpg	0																																																																										
0031200004116	CRAISINS		0	c	3	1330		0.75	0								76.2	57.5			6.25	0.25				0.0229	0.009																																										3	3							
0031200043573	Canneberges Sèches		0	c	3	1360		0	0								82.5	72.5			7.5	0				0	0																																										4	4							
0031200949271	Craisins® infusées qui jus de grenade	https://static.openfoodfacts.org/images/products/003/120/094/9271/front.3.400.jpg	1	c	4	1469		0.6	0								82	73			8.2	0				0	0																																										4	4							
0031689326600	Dattes Medjool Dates	https://static.openfoodfacts.org/images/products/003/168/932/6600/front.3.400.jpg	0																																																																										
00323628	Royal gala apples	https://static.openfoodfacts.org/images/products/00323628/front_en.3.400.jpg	0																																																																										
00325424	Abricots sec		0	c		757		0.6	0.1								36.5	36.5				4				0.04	0.015748031496063																																										3	3							
00332286	braeburn apples	https://static.openfoodfacts.org/images/products/00332286/front_en.3.400.jpg	0																																																																										
0034856028949	Concord Grape Fruit Snacks	https://static.openfoodfacts.org/images/products/003/485/602/8949/front_en.3.400.jpg	6	a	4	544	0	0	0						0		31	18				1				0.0381	0.015		0.000375			0.005		0.06																																			-1	-1							
0034856028963	Fruit Snacks	https://static.openfoodfacts.org/images/products/003/485/602/8963/front_en.3.400.jpg	0	c		1360		0	0								77.5	45			0	2.5				0.0953	0.0375																																										7	7							
