code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3380380048432	Tartines craquantes au sarrasin	https://static.openfoodfacts.org/images/products/338/038/004/8432/front.21.400.jpg	0	a	3	1623		2.8	0.6								74.8	2.6			5.9	13				0.7	0.275590551181102																							0.0038	0.186																		-3	-3							
3380380049736	Pain bio 3 céréales prétranché		1	a	3	872		2.1	0.3								38	1.1			4.7	6.1				0.93	0.366141732283465																																										-1	-1							
3380380057960	Knusprige Bio Kastanien-Schnitten		0	a	3	1628		1.6	0.4								83.5	9.3			4.9	6.5				0.58	0.228346456692913																																										-1	-1							
3380380057977	Tostadas ecológicas &quot;Le Pain des Fleurs&quot; Castañas	https://static.openfoodfacts.org/images/products/338/038/005/7977/front.7.400.jpg	0	a	3	1628		1.6	0.4								83.5	9.3			4.9	6.5				0.613664	0.2416																																										-1	-1							
3380380068522	Tartines craquantes bio à la châtaigne	https://static.openfoodfacts.org/images/products/338/038/006/8522/front.5.400.jpg	0	a	3	1607		1.6	0.4								83.5	9.3			4.9	6.5				0.6	0.236220472440945																																										-1	-1							
3380380068539	le pain des fleurs	https://static.openfoodfacts.org/images/products/338/038/006/8539/front.6.400.jpg	0	a	3	1519		2.3	0.5								74.8	0.7			3.4	9.1				0.59	0.232283464566929																								0.11																		-2	-2							
3380380072437	Tartines craquantes bio cacao	https://static.openfoodfacts.org/images/products/338/038/007/2437/front.3.400.jpg	0	a	3	1669		2.3	1								83.3	15			4.6	7.7				0.06	0.0236220472440945																																										-1	-1							
3380380072512	Tartines craquantes bio à l'oignon	https://static.openfoodfacts.org/images/products/338/038/007/2512/front.7.400.jpg	0	c	3	1567		1.4	0.4								78.8	1.8			3	9				2.1	0.826771653543307																																										10	10							
3380380077296	Tartines Craquantes Maïs-riz Bio - 150 G - Le Pain Des Fleurs		0	b	3	1594		1.8	0.6								82.9	0.5			2.2	7.1				0.5	0.196850393700787																																										0	0							
3380380077302	Tartines bio à l'avoine		0	a	3	1621		3.7	0.7								76.2	0.1			6.1	8.3				0.62	0.244094488188976																								0.071																		-4	-4							
