code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
26019376	Blé soufflé au miel		1	c	4	1573		1.5	0.3								78	29				9				0.05	0.0196850393700787																																										5	5							
26019383	Pétales de maïs		0	d		1548		0.8	0.3								84	30				5				0.63	0.248031496062992																																										12	12							
26019499	Pétales aux trois céréales chocolat noir	https://static.openfoodfacts.org/images/products/26019499/front.8.400.jpg	1	b	4	1602		1.6	0.3								81	17			4	8.2				0.8	0.31496062992126																																										1	1							
26019550	Pétales de blé au chocolat		0	d		1619		2.7	1.2								78	27				9.3				0.3	0.118110236220472								0.00094	0.00119	0.0136	0.00119	0.00018		2.13e-06		0.0051							0.0079																			11	11							
26019567	Riz Soufflé au Chocolat		0	c	4	1636		2	1								84	30			3.9	6.5				0.5	0.196850393700787								0.00094	0.00119	0.0136	0.00119	0.00017		2.13e-06		0.0051							0.0079																			8	8							
26019574	Barre aux céréales au chocolat	https://static.openfoodfacts.org/images/products/26019574/front.3.400.jpg	0	d		1686		9.6	3.6								72.5	33				5.1				0.03	0.0118110236220472																																										15	15							
26019611	Muesli Fruits & Baies Rouges	https://static.openfoodfacts.org/images/products/26019611/front.6.400.jpg	3	a	4	1482		4	1.6								65	17.5			8.8	9.3				0.01	0.00393700787401575																																										-2	-2							
26019710	Céréales fourrées Chocolat	https://static.openfoodfacts.org/images/products/26019710/front.10.400.jpg	2	c	4	1862		17	3.1								61	31			5	7.5				0.4	0.15748031496063																																										10	10							
26019727	Pétales de riz et de blé complet aux copeaux de chocolat noir	https://static.openfoodfacts.org/images/products/26019727/front.10.400.jpg	0	d		1719		7	4								75	24			4	9				0.889	0.35							0.0535	0.0007	0.0009	0.0107	0.0009	0.000133		1.7e-06								0.17	0.0085																			12	12							
26019734	Pépites Croustillantes au 4 Noix	https://static.openfoodfacts.org/images/products/26019734/front.4.400.jpg	1	c	4	1950		20	2.2								58	17				10				0.12	0.047244094488189																																										5	5							
26019897	Smiley Cereal Chocolat		0	d	4	1651		1.5	0.6								85	33				7.1				0.44	0.173228346456693																																										12	12							
26039404	Céréales choco caramel croquantes		3	c	4	1657	1657	5.2	0.9								76	27			0	8.4				0.44	0.173228346456693																																										5	5							
26077345	Muesli Fruits & Epeautre	https://static.openfoodfacts.org/images/products/26077345/front.3.400.jpg	0	d	4	1824		14	7								65	17				8.3				0.33	0.12992125984252																																					0					15	15							
26083520	Muesli Clusters Fruity	https://static.openfoodfacts.org/images/products/26083520/front_en.9.400.jpg	6	d	4	1780		13.7	5.5								62.9	29.4			8.4	7.8				0.33274	0.131																																										12	12							
26117959	Just Bran	https://static.openfoodfacts.org/images/products/26117959/front_en.16.400.jpg	0	a	3	786		2.4	0.6								23.4	14.4			16	10.3				0.59944	0.236								0.0005	0.0007	0.0026		0.000106											0.003	0.095	0.0022																	-3	-3							
2680075352853	7 céréales		0		3																																																																								
27011928	Choco Balls		1	c	4	1640		3.8	2								81	30			3	6				0.4	0.15748031496063																																										9	9							
27020531	Granola Müsli Riegel Schoko		0	c	4	1590		11	3.7								69	1.4				7.7				0.4	0.15748031496063																																										4	4							
27021408	Fruit Crunchy	https://static.openfoodfacts.org/images/products/27021408/front.3.400.jpg	1	d	4	1971		19.5	7.5								61.5	19				9				0.14	0.0551181102362205																																				4						16	16							
27023075	Frosted Flakes		0		3																																																																								
27024294	Crunchy Granola - Muesli Croustillant		1	b	4	1766		12	1.4								65	22			8.1	11				0.01	0.00393700787401575																																										0	0							
27038284	Crunchy Muesli Chocolate bio	https://static.openfoodfacts.org/images/products/27038284/front.12.400.jpg	0	d	4	1854		15	6.3								63	17				10				0.33	0.12992125984252																																										15	15							
27082591	Cacao & Wheat Pillows	https://static.openfoodfacts.org/images/products/27082591/front.3.400.jpg	1	d	4	1891		16	4.9								69	34			3.8	7				0.4	0.15748031496063																																										13	13							
27095065	Premium Muesli - Fruits, noix, & graines		0	c		1389		5.1	3.6								61	30			6.3	7.4				0.08	0.031496062992126																																										8	8							
